Iteration 1, residual = 1.2260445095
Iteration 2, residual = 0.2168927279
Iteration 3, residual = 0.1727418577
Iteration 4, residual = 0.1489419892
Iteration 5, residual = 0.1175629824
Iteration 6, residual = 0.0876585686
Iteration 7, residual = 0.0632797329
Iteration 8, residual = 0.0449067034
Iteration 9, residual = 0.0315930082
Iteration 10, residual = 0.0221309068
Iteration 11, residual = 0.0154698914
Iteration 12, residual = 0.0108025247
Iteration 13, residual = 0.0075395204
Iteration 14, residual = 0.0052608412
Iteration 15, residual = 0.0036704100
Iteration 16, residual = 0.0025606405
Iteration 17, residual = 0.0017863654
Iteration 18, residual = 0.0012461949
Iteration 19, residual = 0.0008693582
Iteration 20, residual = 0.0006064710
Iteration 21, residual = 0.0004230783
Iteration 22, residual = 0.0002951420
Iteration 23, residual = 0.0002058928
Iteration 24, residual = 0.0001436320
Iteration 25, residual = 0.0001001985
Iteration 26, residual = 0.0000698990
Iteration 27, residual = 0.0000487620
Iteration 28, residual = 0.0000340166
Iteration 29, residual = 0.0000237302
Iteration 30, residual = 0.0000165543
Iteration 31, residual = 0.0000115484
Iteration 32, residual = 0.0000080562
Iteration 33, residual = 0.0000056201
Iteration 34, residual = 0.0000039206
Iteration 35, residual = 0.0000027350
Iteration 36, residual = 0.0000019080
Iteration 37, residual = 0.0000013310
Iteration 38, residual = 0.0000009285
Max eigenvalue = 199734494821.0656127930
Time;	Number of proscesses;	Matrix size;	Non-zeros
0.0003080368	1	112	640
