Read: k = 0, row = 0, col = 0, A = 296965303
Read: k = 1, row = 3, col = 0, A = 4507339373
Complete symmetry: k = 376, row = 0, col = 3, A = 4507339373
Read: k = 2, row = 4, col = 0, A = -296965303
Complete symmetry: k = 377, row = 0, col = 4, A = -296965303
Read: k = 3, row = 7, col = 0, A = 4507339373
Complete symmetry: k = 378, row = 0, col = 7, A = 4507339373
Read: k = 4, row = 1, col = 1, A = 296965303
Read: k = 5, row = 2, col = 1, A = -4507339373
Complete symmetry: k = 379, row = 1, col = 2, A = -4507339373
Read: k = 6, row = 5, col = 1, A = -296965303
Complete symmetry: k = 380, row = 1, col = 5, A = -296965303
Read: k = 7, row = 6, col = 1, A = -4507339373
Complete symmetry: k = 381, row = 1, col = 6, A = -4507339373
Read: k = 8, row = 2, col = 2, A = 167239646968
Read: k = 9, row = 5, col = 2, A = 4507339373
Complete symmetry: k = 382, row = 2, col = 5, A = 4507339373
Read: k = 10, row = 6, col = 2, A = -30414852966
Complete symmetry: k = 383, row = 2, col = 6, A = -30414852966
Read: k = 11, row = 3, col = 3, A = 167239646968
Read: k = 12, row = 4, col = 3, A = -4507339373
Complete symmetry: k = 384, row = 3, col = 4, A = -4507339373
Read: k = 13, row = 7, col = 3, A = -30414852966
Complete symmetry: k = 385, row = 3, col = 7, A = -30414852966
Read: k = 14, row = 4, col = 4, A = 393237959
Read: k = 15, row = 7, col = 4, A = -4138133736
Complete symmetry: k = 386, row = 4, col = 7, A = -4138133736
Read: k = 16, row = 8, col = 4, A = -96272656
Complete symmetry: k = 387, row = 4, col = 8, A = -96272656
Read: k = 17, row = 11, col = 4, A = 369205636
Complete symmetry: k = 388, row = 4, col = 11, A = 369205636
Read: k = 18, row = 5, col = 5, A = 393237959
Read: k = 19, row = 6, col = 5, A = 4138133736
Complete symmetry: k = 389, row = 5, col = 6, A = 4138133736
Read: k = 20, row = 9, col = 5, A = -96272656
Complete symmetry: k = 390, row = 5, col = 9, A = -96272656
Read: k = 21, row = 10, col = 5, A = -369205636
Complete symmetry: k = 391, row = 5, col = 10, A = -369205636
Read: k = 22, row = 6, col = 6, A = 171258001691
Read: k = 23, row = 9, col = 6, A = 369205636
Complete symmetry: k = 392, row = 6, col = 9, A = 369205636
Read: k = 24, row = 10, col = 6, A = -1186547493
Complete symmetry: k = 393, row = 6, col = 10, A = -1186547493
Read: k = 25, row = 7, col = 7, A = 171258001691
Read: k = 26, row = 8, col = 7, A = -369205636
Complete symmetry: k = 394, row = 7, col = 8, A = -369205636
Read: k = 27, row = 11, col = 7, A = -1186547493
Complete symmetry: k = 395, row = 7, col = 11, A = -1186547493
Read: k = 28, row = 8, col = 8, A = 196873924
Read: k = 29, row = 11, col = 8, A = 42562563
Complete symmetry: k = 396, row = 8, col = 11, A = 42562563
Read: k = 30, row = 12, col = 8, A = -100431268
Complete symmetry: k = 397, row = 8, col = 12, A = -100431268
Read: k = 31, row = 15, col = 8, A = 411768199
Complete symmetry: k = 398, row = 8, col = 15, A = 411768199
Read: k = 32, row = 9, col = 9, A = 196873924
Read: k = 33, row = 10, col = 9, A = -42562563
Complete symmetry: k = 399, row = 9, col = 10, A = -42562563
